,Latitude,Longitude
Nicobars ANDAMAN & NICOBAR ISLANDS,7.1205,93.7842
North  & Middle Andaman ANDAMAN & NICOBAR ISLANDS,12.6519,92.8976
South Andaman ANDAMAN & NICOBAR ISLANDS,11.7401,92.6586
Ambala HARYANA,30.3752,76.7821
Bhiwani HARYANA,28.7975,76.1322
Faridabad HARYANA,28.4089,77.3178
Fatehabad HARYANA,29.5132,75.4510
Gurgaon HARYANA,28.4595,77.0266
Hisar HARYANA,29.1492,75.7217
Jhajjar HARYANA,28.6055,76.6538
Jind HARYANA,29.3255,76.2998
Kaithal HARYANA,29.8043,76.4039
Karnal HARYANA,29.6857,76.9905
Kurukshetra HARYANA,29.9695,76.8783
Mahendragarh HARYANA,28.2734,76.1401
Mewat  HARYANA,28.0107,77.0564
Palwal  HARYANA,28.1473,77.3260
Panchkula HARYANA,30.6942,76.8606
Panipat HARYANA,29.3909,76.9635
Rewari HARYANA,28.1920,76.6191
Rohtak HARYANA,28.8955,76.6066
Sirsa HARYANA,29.5321,75.0318
Sonipat HARYANA,28.9931,77.0151
Yamunanagar HARYANA,30.1290,77.2674
Dimapur  NAGALAND,25.9091,93.7266
Kiphire NAGALAND,25.8689,94.7853
Kohima NAGALAND,25.6751,94.1086
Longleng NAGALAND,26.4902,94.8197
Mokokchung NAGALAND,26.3220,94.5135
Mon NAGALAND,26.7331,95.0615
Peren NAGALAND,25.5125,93.7391
Phek NAGALAND,25.6634,94.4703
Tuensang NAGALAND,26.2357,94.8132
Wokha NAGALAND,26.0910,94.2590
Zunheboto NAGALAND,26.0093,94.5238
Anantapur ANDHRA PRADESH,14.6819,77.6006
Chittoor ANDHRA PRADESH,13.2172,79.1003
East Godavari ANDHRA PRADESH,17.3213,82.0407
Guntur ANDHRA PRADESH,16.3067,80.4365
Hyderabad ANDHRA PRADESH,17.3850,78.4867
Krishna ANDHRA PRADESH,16.6100,80.7214
Kurnool ANDHRA PRADESH,15.8281,78.0373
Nalgonda ANDHRA PRADESH,15.0892,77.4358
Nizamabad ANDHRA PRADESH,18.6725,78.0941
Prakasam ANDHRA PRADESH,15.3485,79.5603
Sri Potti Sriramulu Nellore ANDHRA PRADESH,14.2581,79.9193
Srikakulam ANDHRA PRADESH,18.2949,83.8938
Visakhapatnam ANDHRA PRADESH,17.6868,83.2185
Vizianagaram ANDHRA PRADESH,18.1067,83.3956
Warangal ANDHRA PRADESH,17.9689,79.5941
West Godavari ANDHRA PRADESH,16.9174,81.3399
Y.S.R. ANDHRA PRADESH,14.5767,78.8383
Bilaspur HIMACHAL PRADESH,31.3407,76.6875
Chamba HIMACHAL PRADESH,32.5534,76.1258
Hamirpur HIMACHAL PRADESH,31.6862,76.5213
Kangra HIMACHAL PRADESH,32.0998,76.2691
Kinnaur HIMACHAL PRADESH,31.6510,78.4752
Kullu HIMACHAL PRADESH,31.9592,77.1089
Lahul & Spiti HIMACHAL PRADESH,32.6192,77.3784
Mandi HIMACHAL PRADESH,31.5892,76.9182
