iter	RMSE
0	0.8024711078
1	0.7902469759
2	0.7790720578
3	0.7693338637
4	0.7602751102
5	0.7528605544
6	0.7458283037
7	0.7396130251
8	0.7339946209
9	0.7290140868
10	0.7237952392
11	0.7195173472
12	0.7154349682
13	0.7120273983
14	0.709077595
15	0.7063544139
16	0.7039486964
17	0.701758315
18	0.6997285265
19	0.6974476399
20	0.6957582696
21	0.6941964375
22	0.692526089
23	0.6908447922
24	0.6895494027
25	0.6884495966
26	0.6871192759
27	0.6859522413
28	0.6849068221
29	0.6839024879
30	0.6827518263
31	0.6819459744
32	0.6811422389
33	0.680387172
34	0.6795986436
35	0.6789931592
36	0.6785029836
37	0.6779266357
38	0.6774540294
39	0.6768788151
40	0.6764843883
41	0.6759128225
42	0.6754654619
43	0.6747727275
44	0.6742517766
45	0.6739393763
46	0.673399467
47	0.6729639066
48	0.6724158695
49	0.6721286062
50	0.6717490617
51	0.6714343545
52	0.6711328669
53	0.6705348563
54	0.6699821367
55	0.669768463
56	0.6694952352
57	0.6692502466
58	0.6689462394
59	0.668796114
60	0.6686871002
61	0.6683857097
62	0.6681323697
63	0.6679492298
64	0.6678076668
65	0.6674680753
66	0.6671560605
67	0.66700715
68	0.6668350243
69	0.6667065664
70	0.6665520978
71	0.6663399119
72	0.6661095303
73	0.6660007794
74	0.6658112135
75	0.6655430811
76	0.6654287484
77	0.6653160058
78	0.6651256133
79	0.6648413226
80	0.6647259798
81	0.6644318533
82	0.664167426
83	0.6640915684
84	0.6639041731
85	0.6638127509
86	0.663750468
87	0.6637015275
88	0.6634426363
89	0.6633425976
90	0.6632631319
91	0.6631113044
92	0.6630415754
93	0.6627838674
94	0.662737262
95	0.6625425202
96	0.6623541668
97	0.6622892581
98	0.6620931581
99	0.6619912808
100	0.6618972735
101	0.6617063991
102	0.6616317919
103	0.6615705471
104	0.6613680751
105	0.6612825632
106	0.6611514402
107	0.6608003131
108	0.6606904812
109	0.6605806293
110	0.6605275543
111	0.660451182
112	0.6601572627
113	0.660002663
114	0.6599523666
115	0.659627844
116	0.6594742014
117	0.6593258243
118	0.6590698018
119	0.6589505212
120	0.6588691203
121	0.6588089351
122	0.6585948922
123	0.6585349021
124	0.6584898339
125	0.6584178216
126	0.658315687
127	0.6580737926
128	0.6579591543
129	0.657640922
130	0.6572919266
131	0.6572170177
132	0.6571300002
133	0.6570498831
134	0.6569837846
135	0.6569182252
136	0.6568146433
137	0.6566927654
138	0.6564774503
139	0.6563485558
140	0.656285489
141	0.656154219
142	0.6560147388
143	0.6558400415
144	0.6557871907
145	0.6556904059
146	0.6556292482
147	0.6555362059
148	0.6554726065
149	0.655392431
150	0.6552516187
151	0.6550524423
152	0.6548415946
153	0.654721201
154	0.6546852827
155	0.6545658269
156	0.6545000454
157	0.6544159676
158	0.6542893296
159	0.6541167686
160	0.6540589595
161	0.6539290958
162	0.6538573683
163	0.653666793
164	0.6533996502
165	0.6532947747
166	0.6532286401
167	0.6531560892
168	0.6531043879
169	0.6530330158
170	0.6528421588
171	0.6526785168
172	0.6525929357
173	0.6524669017
174	0.6523456191
175	0.6522734437
176	0.6520111569
177	0.6519657665
178	0.6518814433
179	0.6517699352
180	0.6517166456
181	0.6516247145
182	0.651461884
183	0.6513526353
184	0.6512780207
185	0.6511005542
186	0.6509635506
187	0.6508404711
188	0.6505996647
189	0.6504761623
190	0.6503857966
191	0.6502937095
192	0.6502644509
193	0.6501939064
194	0.6500486752
195	0.6499470161
196	0.6498765371
197	0.6497685631
198	0.6496390271
199	0.6495640073
200	0.649464139
201	0.6493354341
202	0.6491154747
203	0.6490556635
204	0.6489388499
205	0.6488509872
206	0.6487445515
207	0.6485882734
208	0.6485281541
209	0.6483244107
210	0.6482582354
211	0.6481632676
212	0.6480917847
213	0.6480267515
214	0.6479294389
215	0.6478417587
216	0.6477490613
217	0.6476762881
218	0.647622946
219	0.6475774086
220	0.6474353103
221	0.6473866981
222	0.6472977115
223	0.6470822956
224	0.6469677061
225	0.6468656632
226	0.6468125226
227	0.6467447935
228	0.6466736027
229	0.6465563653
230	0.6464531362
231	0.6462724899
232	0.6462439946
233	0.6461981245
234	0.6461734045
235	0.6460617711
236	0.6459732119
237	0.645878777
238	0.6457677325
239	0.6456144766
240	0.6455670259
241	0.6455001701
242	0.6454403009
243	0.6453264588
244	0.6452857035
245	0.6451773706
246	0.6450544383
247	0.6449965882
248	0.6448872549
249	0.6447767286
250	0.6446883679
251	0.6446436759
252	0.6446076834
253	0.64454857
254	0.6444511961
255	0.6443980512
256	0.6442954107
257	0.6442179698
258	0.6441586594
259	0.6441033555
260	0.6440298307
261	0.6439563539
262	0.6438916527
263	0.6438086387
264	0.6437343808
265	0.6437020574
266	0.6436460436
267	0.6436254544
268	0.6435566652
269	0.6434199248
270	0.6433616989
271	0.6432920634
272	0.6432536287
273	0.6431863049
274	0.6431679516
275	0.6430965292
276	0.6430478499
277	0.6429033165
278	0.6428599174
279	0.6428107658
280	0.642732016
281	0.6426786241
282	0.6426579374
283	0.6426174471
284	0.6425188945
285	0.6424288102
286	0.6423406042
287	0.6422581462
288	0.6421864966
289	0.6421173157
290	0.6420661295
291	0.642048743
292	0.641929051
293	0.641872555
294	0.6417671406
295	0.641690232
296	0.6416051604
297	0.6415466095
298	0.6414740627
299	0.641419458
300	0.6413880589
301	0.6413419628
302	0.6412544509
303	0.641190139
304	0.6411355198
305	0.6411058295
306	0.6410745721
307	0.6409586173
308	0.6408573321
309	0.6407724313
310	0.6407260697
311	0.6406477515
312	0.6405816453
313	0.6404974318
314	0.6404557204
315	0.6403477561
316	0.6402806481
317	0.6402150049
318	0.6401784841
319	0.6401094465
320	0.6400553753
321	0.6399668466
322	0.6398779434
323	0.6398038093
324	0.6397662923
325	0.6396958659
326	0.6396357312
327	0.6395677653
328	0.6394836068
329	0.6394039855
330	0.6393724253
331	0.6392572588
332	0.6392165606
333	0.6391359692
334	0.6390946368
335	0.6390209098
336	0.6389798735
337	0.6389153814
338	0.6388490375
339	0.6387956201
340	0.6387717407
341	0.6387263868
342	0.6387018013
343	0.6386518977
344	0.6386243878
345	0.6385390093
346	0.6384640165
347	0.6384296458
348	0.638366625
349	0.6383165805
350	0.6382450156
351	0.6381967609
352	0.6381429499
353	0.6380813167
354	0.6380582499
355	0.6380104738
356	0.6379783389
357	0.6379367559
358	0.6378952269
359	0.6378016961
360	0.6377101982
361	0.6376005819
362	0.6374741295
363	0.6373885803
364	0.6373057623
365	0.6372606209
366	0.6372148425
367	0.6371695037
368	0.637089717
369	0.6370038087
370	0.6369576952
371	0.6368951742
372	0.6368259229
373	0.6367889984
374	0.6367288916
375	0.6366325349
376	0.6365374657
377	0.636513051
378	0.6364731634
379	0.636424378
380	0.636391195
381	0.6363246499
382	0.6362733531
383	0.6362144604
384	0.6361579878
385	0.6360812013
386	0.6360223734
387	0.6359706479
388	0.6359505884
389	0.6359096658
390	0.6358289688
391	0.6357838727
392	0.6357045356
393	0.6356116426
394	0.6355617276
395	0.6355009982
396	0.6354649104
397	0.6354178313
398	0.6353633522
399	0.6352914064
400	0.6352569102
401	0.6351788648
402	0.6351010484
403	0.6350434141
404	0.6349751333
405	0.6349271598
406	0.6348934311
407	0.6348454789
408	0.6347745746
409	0.6347155192
410	0.6346396201
411	0.6345848506
412	0.6345375744
413	0.6344854519
414	0.6344574012
415	0.6343753592
416	0.6343323986
417	0.6342938449
418	0.6342549135
419	0.6342137014
420	0.6341375224
421	0.6340882196
422	0.6340193333
423	0.6339869681
424	0.6339492385
425	0.6339046732
426	0.6338618074
427	0.6338400726
428	0.6337910736
429	0.6337387125
430	0.6337045958
431	0.6336507009
432	0.6336293747
433	0.6335643603
434	0.6335345068
435	0.6334981337
436	0.6334446333
437	0.6334007341
438	0.6333201142
439	0.6332483445
440	0.6331742541
441	0.6331076077
442	0.6330330657
443	0.6329759886
444	0.632908932
445	0.6328660117
446	0.6328152778
447	0.6327554314
448	0.6327038858
449	0.6326635096
450	0.6326162437
451	0.6325893455
452	0.6325458213
453	0.6325107503
454	0.6324840544
455	0.6324394418
456	0.6323920843
457	0.6323462769
458	0.6322387995
459	0.6321832941
460	0.6321634699
461	0.6321289215
462	0.6320823138
