iter	Passed	Remaining
0	4	4847
1	9	4591
2	12	4242
3	16	4027
4	20	4051
5	24	3995
6	27	3882
7	32	4019
8	35	3928
9	39	3951
10	43	3927
11	46	3828
12	49	3771
13	54	3819
14	57	3768
15	61	3792
16	64	3754
17	68	3733
18	71	3686
19	74	3654
20	77	3612
21	80	3585
22	83	3565
23	87	3540
24	90	3515
25	92	3483
26	97	3512
27	100	3503
28	104	3484
29	107	3465
30	110	3452
31	114	3450
32	117	3435
33	120	3433
34	123	3416
35	127	3414
36	130	3398
37	136	3445
38	139	3443
39	143	3446
40	147	3439
41	151	3446
42	155	3453
43	158	3439
44	162	3451
45	165	3433
46	170	3447
47	173	3448
48	177	3447
49	181	3440
50	186	3470
51	190	3471
52	196	3504
53	200	3514
54	205	3525
55	208	3520
56	212	3514
57	216	3514
58	221	3525
59	224	3523
60	228	3517
61	233	3529
62	236	3524
63	241	3529
64	245	3528
65	249	3530
66	253	3527
67	256	3514
68	259	3506
69	263	3500
70	266	3491
71	269	3477
72	273	3473
73	277	3472
74	280	3458
75	283	3448
76	289	3471
77	292	3462
78	295	3450
79	299	3443
80	312	3550
81	316	3538
82	319	3529
83	322	3521
84	326	3518
85	330	3510
86	335	3522
87	338	3509
88	343	3512
89	346	3505
90	351	3509
91	354	3498
92	358	3497
93	362	3492
94	365	3481
95	369	3477
96	373	3477
97	377	3471
98	382	3480
99	386	3478
100	389	3468
101	393	3468
102	397	3464
103	401	3456
104	404	3449
105	409	3456
106	413	3450
107	416	3441
108	421	3448
109	425	3443
110	428	3434
111	433	3439
112	437	3434
113	440	3427
114	444	3420
115	449	3422
116	453	3426
117	457	3419
118	460	3411
119	466	3424
120	470	3418
121	473	3410
122	479	3415
123	483	3412
124	487	3412
125	491	3407
126	494	3400
127	498	3392
128	501	3389
129	505	3381
130	510	3385
131	514	3380
132	517	3372
133	520	3366
134	525	3369
135	529	3362
136	532	3355
137	536	3348
138	541	3351
139	545	3350
140	548	3344
141	552	3335
142	557	3338
143	560	3333
144	564	3329
145	568	3322
146	571	3314
147	575	3310
148	579	3307
149	582	3301
150	585	3294
151	589	3287
152	594	3289
153	598	3286
154	601	3280
155	605	3274
156	609	3270
157	613	3270
158	616	3262
159	620	3259
160	624	3255
161	628	3249
162	631	3243
163	634	3236
164	638	3229
165	641	3223
166	644	3215
167	647	3208
168	651	3202
169	654	3196
170	657	3189
171	661	3182
172	664	3176
173	667	3170
174	674	3177
175	677	3172
176	681	3169
177	686	3171
178	691	3171
179	694	3165
180	700	3167
181	703	3160
182	707	3158
183	711	3153
184	714	3149
185	718	3144
186	722	3140
187	725	3133
188	729	3131
189	733	3128
190	737	3124
191	741	3118
192	744	3112
193	747	3107
194	751	3101
195	755	3099
196	758	3093
197	762	3087
198	765	3081
199	769	3078
200	774	3080
201	778	3075
202	781	3069
203	785	3063
204	788	3057
205	792	3055
206	796	3052
207	799	3045
208	802	3038
209	806	3033
210	810	3030
211	815	3030
212	819	3027
213	822	3020
214	825	3014
215	828	3008
216	832	3003
217	837	3003
218	841	2999
219	844	2992
220	847	2986
221	850	2980
222	854	2975
223	858	2974
224	862	2969
225	865	2964
226	868	2958
227	872	2952
228	877	2953
229	880	2948
230	884	2943
231	887	2938
232	891	2934
233	895	2931
234	899	2926
235	902	2921
236	905	2916
237	908	2909
238	911	2902
239	915	2898
240	920	2897
241	924	2895
242	927	2888
243	930	2883
244	935	2881
245	938	2876
246	941	2869
247	946	2869
248	950	2865
249	953	2860
250	957	2857
251	961	2853
252	964	2848
253	968	2845
254	972	2841
255	975	2836
256	980	2835
257	984	2830
258	987	2824
259	991	2822
260	995	2818
261	998	2813
262	1002	2808
263	1008	2810
264	1012	2807
265	1016	2805
266	1020	2800
267	1023	2796
268	1027	2792
269	1030	2786
270	1035	2784
271	1038	2778
272	1042	2775
273	1045	2770
274	1050	2768
275	1053	2763
276	1056	2757
277	1059	2751
278	1062	2745
279	1065	2740
280	1070	2739
281	1074	2734
282	1077	2729
283	1080	2724
284	1083	2718
285	1086	2712
286	1089	2707
287	1094	2706
288	1097	2700
289	1100	2694
290	1103	2689
291	1106	2683
292	1110	2678
293	1113	2673
294	1118	2672
295	1121	2668
296	1125	2663
297	1128	2657
298	1131	2652
299	1134	2646
300	1137	2640
301	1140	2635
302	1143	2629
303	1148	2628
304	1151	2624
305	1155	2619
306	1158	2615
307	1163	2613
308	1166	2609
309	1170	2604
310	1173	2599
311	1176	2594
312	1179	2588
313	1183	2584
314	1187	2581
315	1190	2576
316	1193	2570
317	1196	2565
318	1200	2561
319	1203	2556
320	1205	2550
321	1210	2548
322	1213	2543
323	1216	2538
324	1220	2534
325	1223	2529
326	1227	2525
327	1230	2520
328	1233	2515
329	1237	2511
330	1241	2508
331	1244	2503
332	1247	2498
333	1250	2494
334	1254	2491
335	1258	2486
336	1262	2484
337	1266	2480
338	1270	2476
339	1273	2472
340	1277	2467
341	1280	2464
342	1284	2460
343	1287	2455
344	1291	2452
345	1295	2449
346	1299	2445
347	1302	2440
348	1305	2435
349	1309	2431
350	1312	2427
351	1316	2422
352	1319	2418
353	1323	2416
354	1327	2412
355	1331	2408
356	1334	2403
357	1338	2399
358	1341	2395
359	1344	2390
360	1348	2386
361	1352	2383
362	1355	2378
363	1358	2374
364	1362	2370
365	1365	2365
366	1369	2361
367	1372	2357
368	1376	2353
369	1380	2350
370	1384	2347
371	1387	2343
372	1391	2338
373	1394	2334
374	1398	2330
375	1401	2325
